WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
12;61;01;1;0950463;01363;ul.;Biskupia;;2021-11-27
12;61;01;1;0950463;01368;ul.;Biskupińska;;2021-11-27
12;61;01;1;0950463;01374;ul.;Bitschana;Jurka;2021-11-27
12;61;01;1;0950463;01378;ul.;Bitwy nad Bzurą;;2021-11-27
12;61;01;1;0950463;01391;ul.;Biwakowa;;2021-11-27
12;61;01;1;0950463;01395;ul.;Blacharska;;2021-11-27
12;61;01;1;0950463;01397;ul.;Blachnickiego;ks. Franciszka;2021-11-27
12;61;01;1;0950463;01409;ul.;Blich;;2021-11-27
12;61;01;1;0950463;01413;ul.;Bliska;;2021-11-27
12;61;01;1;0950463;01427;ul.;Blokowa;;2021-11-27
12;61;01;1;0950463;01430;ul.;Bluszczowa;;2021-11-27
12;61;01;1;0950463;01442;ul.;Bławatkowa;;2021-11-27
12;61;01;1;0950463;01458;ul.;Błękitna;;2021-11-27
12;61;01;1;0950463;01473;ul.;Błotna;;2021-11-27
12;61;01;1;0950463;28294;ul.;Błotniska;;2021-11-27
12;61;01;1;0950463;01485;ul.;Boboli;św. Andrzeja;2021-11-27
12;61;01;1;0950463;01492;ul.;Bobrowa;;2021-11-27
12;61;01;1;0950463;01498;ul.;Bobrowskiego;Stefana;2021-11-27
12;61;01;1;0950463;01503;ul.;Bobrzeckiej;Marii;2021-11-27
12;61;01;1;0950463;52989;ul.;Bobrzyńskiego;Profesora Michała;2021-11-27
12;61;01;1;0950463;01505;ul.;Bochenka;Adama;2021-11-27
12;61;01;1;0950463;01506;ul.;Bocheńska;;2021-11-27
12;61;01;1;0950463;52963;ul.;Bocheńskiego;Ojca Józefa;2021-11-27
12;61;01;1;0950463;33373;ul.;Bochnaka;prof. Adama;2021-11-27
12;61;01;1;0950463;01516;ul.;Bociana;;2021-11-27
12;61;01;1;0950463;01528;ul.;Boczna;;2021-11-27
12;61;01;1;0950463;01546;ul.;Bocznica;;2021-11-27
12;61;01;1;0950463;01557;ul.;Bodziszkowa;;2021-11-27
12;61;01;1;0950463;01558;ul.;Bodzowska;;2021-11-27
12;61;01;1;0950463;35329;ul.;Bogdanowicza;Karola;2021-11-27
12;61;01;1;0950463;01567;ul.;Bogdanowskiego;Wincentego;2021-11-27
12;61;01;1;0950463;01579;ul.;Bogucianka;;2021-11-27
12;61;01;1;0950463;01580;ul.;Bogucicka;;2021-11-27
12;61;01;1;0950463;01608;ul.;Bogusławskiego;Wojciecha;2021-11-27
12;61;01;1;0950463;30659;ul.;Bogusza;Józefa;2021-11-27
12;61;01;1;0950463;01615;ul.;Boguszówka;;2021-11-27
12;61;01;1;0950463;01682;ul.;Bohaterów Wietnamu;;2021-11-27
12;61;01;1;0950463;01695;ul.;Bohomolca;Franciszka;2021-11-27
12;61;01;1;0950463;32836;ul.;Bojanówka;;2021-11-27
12;61;01;1;0950463;01716;ul.;Bojki;Jakuba;2021-11-27
12;61;01;1;0950463;01742;ul.;Bolesława Chrobrego;;2021-11-27
12;61;01;1;0950463;01749;ul.;Bolesława Krzywoustego;;2021-11-27
12;61;01;1;0950463;01755;ul.;Bolesława Śmiałego;;2021-11-27
12;61;01;1;0950463;01758;ul.;Bolesława Wstydliwego;;2021-11-27
12;61;01;1;0950463;01791;ul.;Bonarka;;2021-11-27
12;61;01;1;0950463;01793;ul.;Bonerowska;;2021-11-27
12;61;01;1;0950463;01797;ul.;Bonifraterska;;2021-11-27
12;61;01;1;0950463;10000;ul.;Bony;Królowej;2021-11-27
12;61;01;1;0950463;01814;ul.;Boratyńskiego;Czesława;2021-11-27
12;61;01;1;0950463;52811;ul.;Borelowskiego-Lelewela;Marcina;2021-11-27
12;61;01;1;0950463;01835;ul.;Borkowska;;2021-11-27
12;61;01;1;0950463;30670;ul.;Borkowskie Błonia;;2021-11-27
12;61;01;1;0950463;01846;ul.;Borowego;Piotra;2021-11-27
12;61;01;1;0950463;40934;ul.;Borowickiej;Iwony;2021-11-27
12;61;01;1;0950463;01861;ul.;Borowinowa;;2021-11-27
12;61;01;1;0950463;01871;ul.;Borówczana;;2021-11-27
12;61;01;1;0950463;01876;ul.;Borsucza;;2021-11-27
12;61;01;1;0950463;01890;ul.;Boruty-Spiechowicza;gen. Mieczysława;2021-11-27
12;61;01;1;0950463;01912;ul.;Bosacka;;2021-11-27
12;61;01;1;0950463;01913;ul.;Bosaków;;2021-11-27
12;61;01;1;0950463;01920;ul.;Botaniczna;;2021-11-27
12;61;01;1;0950463;33375;ul.;Botewa;Christo;2021-11-27
12;61;01;1;0950463;01929;ul.;Boya-Żeleńskiego;Tadeusza;2021-11-27
12;61;01;1;0950463;01930;ul.;Boznańskiej;Olgi;2021-11-27
12;61;01;1;0950463;01935;ul.;Bożego Ciała;;2021-11-27
12;61;01;1;0950463;01936;ul.;Bożego Miłosierdzia;;2021-11-27
12;61;01;1;0950463;35326;ul.;Bożego Miłosierdzia;Do Sanktuarium;2021-11-27
12;61;01;1;0950463;01949;ul.;Bożywoja;;2021-11-27
12;61;01;1;0950463;01951;ul.;Bór;;2021-11-27
12;61;01;1;0950463;02009;ul.;Bracka;;2021-11-27
12;61;01;1;0950463;02030;ul.;Brandla;Konstantego;2021-11-27
12;61;01;1;0950463;02038;ul.;Branicka;;2021-11-27
12;61;01;1;0950463;02048;ul.;Braterska;;2021-11-27
12;61;01;1;0950463;02051;ul.;Braterstwa Broni;;2021-11-27
12;61;01;1;0950463;02056;ul.;Bratkowa;;2021-11-27
12;61;01;1;0950463;02063;ul.;Bratysławska;;2021-11-27
12;61;01;1;0950463;02070;ul.;Brązownicza;;2021-11-27
12;61;01;1;0950463;02092;ul.;Brodowicza;Józefa;2021-11-27
12;61;01;1;0950463;02104;ul.;Brodzińskiego;Kazimierza;2021-11-27
12;61;01;1;0950463;02106;ul.;Brogi;;2021-11-27
12;61;01;1;0950463;02125;ul.;Broniewskiego;Władysława;2021-11-27
12;61;01;1;0950463;28281;ul.;Bronisławy;św.;2021-11-27
12;61;01;1;0950463;02139;ul.;Bronowicka;;2021-11-27
12;61;01;1;0950463;02149;ul.;Browarniana;;2021-11-27
12;61;01;1;0950463;02161;ul.;Brożka;Jana;2021-11-27
12;61;01;1;0950463;28632;ul.;Brücknera;Aleksandra;2021-11-27
12;61;01;1;0950463;28982;ul.;Bruśnicka;;2021-11-27
12;61;01;1;0950463;02192;ul.;Bruzdowa;;2021-11-27
12;61;01;1;0950463;02222;ul.;Brzask;;2021-11-27
12;61;01;1;0950463;02225;ul.;Brzechwy;Jana;2021-11-27
12;61;01;1;0950463;02229;ul.;Brzegowa;;2021-11-27
12;61;01;1;0950463;02230;ul.;Brzeska;;2021-11-27
12;61;01;1;0950463;02250;ul.;Brzezińskiego;Piotra;2021-11-27
12;61;01;1;0950463;02276;ul.;Brzozowa;;2021-11-27
12;61;01;1;0950463;02283;ul.;Brzozowskiego;Stanisława;2021-11-27
12;61;01;1;0950463;02342;ul.;Budryka;Witolda;2021-11-27
12;61;01;1;0950463;02343;ul.;Budrysów;;2021-11-27
12;61;01;1;0950463;02353;ul.;Budziszyńska;;2021-11-27
12;61;01;1;0950463;02367;ul.;Bugaj;;2021-11-27
12;61;01;1;0950463;02375;ul.;Bujaka;Franciszka;2021-11-27
12;61;01;1;0950463;02385;ul.;Bujwida;Odona;2021-11-27
12;61;01;1;0950463;02386;ul.;Bukietowa;;2021-11-27
12;61;01;1;0950463;02387;ul.;Bukowa;;2021-11-27
12;61;01;1;0950463;02407;ul.;Bukszpanowa;;2021-11-27
12;61;01;1;0950463;02408;ul.;Bularnia;;2021-11-27
12;61;01;1;0950463;02416;bulw.;Bulwar Czerwieński;;2021-11-27
12;61;01;1;0950463;02418;bulw.;Bulwar Inflancki;;2021-11-27
12;61;01;1;0950463;02419;bulw.;Bulwar Kurlandzki;;2021-11-27
12;61;01;1;0950463;46929;bulw.;Bulwar Lotników Alianckich;;2021-11-27
12;61;01;1;0950463;02421;bulw.;Bulwar Podolski;;2021-11-27
12;61;01;1;0950463;29292;bulw.;Bulwar Poleski;;2021-11-27
12;61;01;1;0950463;02422;bulw.;Bulwar Rodła;;2021-11-27
12;61;01;1;0950463;02426;bulw.;Bulwar Wołyński;;2021-11-27
12;61;01;1;0950463;02428;ul.;Bulwarowa;;2021-11-27
12;61;01;1;0950463;02436;ul.;Bułgarska;;2021-11-27
12;61;01;1;0950463;02437;ul.;Bułhaka;Jana;2021-11-27
12;61;01;1;0950463;30911;ul.;Bunscha;Karola;2021-11-27
12;61;01;1;0950463;02440;ul.;Buraczana;;2021-11-27
12;61;01;1;0950463;29931;ul.;Burgundzka;;2021-11-27
12;61;01;1;0950463;02462;ul.;Bursztynowa;;2021-11-27
12;61;01;1;0950463;02472;ul.;Burzowa;;2021-11-27
12;61;01;1;0950463;28977;ul.;Buszka;Jana;2021-11-27
12;61;01;1;0950463;29932;ul.;Butrymów;;2021-11-27
12;61;01;1;0950463;02498;ul.;Bydgoska;;2021-11-27
12;61;01;1;0950463;02513;ul.;Bystra;;2021-11-27
12;61;01;1;0950463;02514;ul.;Bystronia;Jana Stanisława;2021-11-27
12;61;01;1;0950463;02528;ul.;Bytomska;;2021-11-27
12;61;01;1;0950463;02539;ul.;Bzymka-Strzałkowskiego;Edwarda;2021-11-27
12;61;01;1;0950463;02559;ul.;Cechowa;;2021-11-27
12;61;01;1;0950463;02566;ul.;Cedrowa;;2021-11-27
12;61;01;1;0950463;02570;ul.;Cedyńska;;2021-11-27
12;61;01;1;0950463;02580;ul.;Cegielniana;;2021-11-27
12;61;01;1;0950463;02589;ul.;Ceglarska;;2021-11-27
12;61;01;1;0950463;30660;ul.;Celakówny;Rozalii;2021-11-27
12;61;01;1;0950463;02597;ul.;Celarowska;;2021-11-27
12;61;01;1;0950463;02602;ul.;Celna;;2021-11-27
12;61;01;1;0950463;02609;ul.;Cementowa;;2021-11-27
12;61;01;1;0950463;30681;ul.;Centkiewiczów;;2021-11-27
12;61;01;1;0950463;02614;ul.;Centralna;;2021-11-27
12;61;01;1;0950463;02633;ul.;Cerchów;Maksymiliana i Stanisława;2021-11-27
12;61;01;1;0950463;30671;ul.;Cesarza;Benedykta;2021-11-27
12;61;01;1;0950463;02657;ul.;Chabrowa;;2021-11-27
12;61;01;1;0950463;02663;ul.;Chałubińskiego;Tytusa;2021-11-27
12;61;01;1;0950463;02666;ul.;Chałupki;;2021-11-27
12;61;01;1;0950463;02668;ul.;Chałupnika;Kazimierza;2021-11-27
12;61;01;1;0950463;28295;ul.;Chanieckiej;Heleny;2021-11-27
12;61;01;1;0950463;02706;ul.;Chełmońskiego;Józefa;2021-11-27
12;61;01;1;0950463;48379;ul.;Chełmońskiego - Deptak;Józefa;2021-11-27
12;61;01;1;0950463;02709;ul.;Chełmska;;2021-11-27
